dataset,arch,class,n_pred_target,low_support,drift_labelfree,pred_mass_drop,drift_truelabel,misroute_target,SHC_coverage,undercoverage
cicids2017:R4_holdout_Slowloris_Slowhttptest,rf,Benign,157683,False,0.0065,-0.5134,0.0001,0.0001,0.9999,-0.0499
cicids2017:R4_holdout_Slowloris_Slowhttptest,rf,DoS,1109,False,0.8079,0.5134,0.8092,0.8092,0.1908,0.7592
cicids2017:R4_holdout_Slowloris_Slowhttptest,xgb,Benign,158539,False,0.0118,-0.5188,0.0,0.0001,0.9999,-0.0499
cicids2017:R4_holdout_Slowloris_Slowhttptest,xgb,DoS,253,False,0.083,0.5188,0.9595,0.9596,0.0404,0.9096
cicids2017:R4_holdout_Slowloris_Slowhttptest,mlp,Benign,156762,False,0.0021,-0.5076,0.0001,0.0002,0.9998,-0.0498
cicids2017:R4_holdout_Slowloris_Slowhttptest,mlp,DoS,2030,False,0.9556,0.5076,0.6508,0.6508,0.3492,0.6008
cicids2017:R5_holdout_GoldenEye_Slowloris,rf,Benign,159336,False,0.0132,-0.4794,0.0001,0.0001,0.9999,-0.0499
cicids2017:R5_holdout_GoldenEye_Slowloris,rf,DoS,5282,False,0.3393,0.4794,0.5444,0.5445,0.4555,0.4945
cicids2017:R5_holdout_GoldenEye_Slowloris,xgb,Benign,157038,False,0.0108,-0.4654,0.0001,0.0001,0.9999,-0.0499
cicids2017:R5_holdout_GoldenEye_Slowloris,xgb,DoS,7580,False,0.1596,0.4654,0.3454,0.3455,0.6545,0.2955
cicids2017:R5_holdout_GoldenEye_Slowloris,mlp,Benign,157477,False,0.0112,-0.4682,0.0002,0.0002,0.9998,-0.0498
cicids2017:R5_holdout_GoldenEye_Slowloris,mlp,DoS,7141,False,0.5251,0.4682,0.3849,0.385,0.615,0.335
ugr16:july_to_august,rf,background,200303,False,0.0583,-0.0019,0.0586,0.0027,0.9973,-0.0473
ugr16:july_to_august,rf,dos,50000,False,0.0066,0.0,0.0062,0.0,1.0,-0.05
ugr16:july_to_august,rf,nerisbotnet,49853,False,0.0857,0.0015,0.0892,0.0109,0.9891,-0.0391
ugr16:july_to_august,rf,scan11,32510,False,0.1113,0.0436,0.6056,0.6084,0.3916,0.5584
ugr16:july_to_august,rf,scan44,67334,False,0.2675,-0.0433,0.2604,0.2632,0.7368,0.2132
ugr16:july_to_august,xgb,background,200326,False,0.0101,-0.0017,0.0087,0.0029,0.9971,-0.0471
ugr16:july_to_august,xgb,dos,50003,False,0.004,0.0,0.0042,0.0,1.0,-0.05
ugr16:july_to_august,xgb,nerisbotnet,49871,False,0.0737,0.0013,0.0769,0.0101,0.9899,-0.0399
ugr16:july_to_august,xgb,scan11,31834,False,0.0783,0.058,0.5587,0.5699,0.4301,0.5199
ugr16:july_to_august,xgb,scan44,67966,False,0.2287,-0.0576,0.1738,0.212,0.8211,0.1289
ugr16:july_to_august,mlp,background,221762,False,0.068,-0.0137,0.0924,0.012,0.9651,-0.0151
ugr16:july_to_august,mlp,dos,50182,False,0.0135,-0.0001,0.0131,0.0,1.0,-0.05
ugr16:july_to_august,mlp,nerisbotnet,26663,False,0.0694,0.0142,0.1104,0.4812,0.9396,0.0104
ugr16:july_to_august,mlp,scan11,41247,False,0.2189,0.0242,0.3976,0.5097,0.5573,0.3927
ugr16:july_to_august,mlp,scan44,60146,False,0.1892,-0.0246,0.1636,0.3243,0.8071,0.1429
